id,name,slug,source
170788,Borussia Düsseldorf,borussia-dusseldorf,sofascore
170800,TTC Zugbrücke Grenzau,ttc-zugbrucke-grenzau,sofascore
170796,Post SV Mühlhausen,post-sv-muhlhausen,sofascore
170804,TTC Hagen,ttc-hagen,sofascore
170790,TTC Frickenhausen,ttc-frickenhausen,sofascore
170794,TTC Bergneustadt,ttc-bergneustadt,sofascore
170802,TTC Fulda Maberzell,ttc-fulda-maberzell,sofascore
170798,Werder Bremen,werder-bremen,sofascore
170806,TTF Ochsenhausen,ttf-ochsenhausen,sofascore
170792,FC Saarbrücken,fc-saarbrucken,sofascore
25079,Chen W.,chen-weixing,sofascore
98253,Xin Xu.,xu-xin,sofascore
25084,Gardos R.,gardos-robert,sofascore
76867,Zhang J.,zhang-jike,sofascore
24894,Lashin E.,lashin-el-sayed,sofascore
98251,Fegerl S.,fegerl-stefan,sofascore
76821,Assar O.,assar-omar,sofascore
24884,Ali Saleh A.,ali-saleh-ahmed,sofascore
76945,Myong Sun Ri.,ri-myong-sun,sofascore
104485,Lee H.,lee-ho-ching,sofascore
76933,Jiang H.,jiang-huajun,sofascore
126146,Postoaca C.,postoaca-camelia,sofascore
131616,Ishigaki Y.,ishigaki-yuka,sofascore
126128,Solja P.,solja-petrissa,sofascore
187517,Alblooshi M.,alblooshi-majd,sofascore
25083,Freitas M.,freitas-marcos,sofascore
131626,Muramatsu Y.,muramatsu-yuto,sofascore
98269,Kim M.,kim-minseok,sofascore
98263,Chen C.,chen-chien-an,sofascore
104581,Morizono M.,morizono-masataka,sofascore
25094,Monteiro J.,monteiro-joao,sofascore
131628,Chiang H.,chiang-hung-chieh,sofascore
98271,Fan Zhendong,fan-zhendong,sofascore
103175,Mengyu Yu.,yu-mengyu,sofascore
25117,Feng T.,feng-tianwei,sofascore
131614,Doo H.,doo-hoi-kem,sofascore
25077,Apolónia T.,apolonia-tiago,sofascore
98297,Habesohn D.,habesohn-daniel,sofascore
76931,Ding N.,ding-ning,sofascore
159896,Isabelle Siyun Li.,li-isabelle-siyun,sofascore
157240,Zhu Yuling,zhu-yuling,sofascore
146866,Karlsson M.,karlsson-mattias,sofascore
182757,Gadiev V.,gadiev-vildan,sofascore
189125,Tregler T.,tregler-tomas,sofascore
189126,Lee C.,lee-chun-lin,sofascore
131612,Brossier B.,brossier-benjamin,sofascore
104517,Lee C.,lee-chia-sheng,sofascore
25086,Jakab J.,jakab-janos,sofascore
25124,Saive J.,saive-jean-michel,sofascore
159886,Kwan Kit Ho.,ho-kwan-kit,sofascore
126090,Pergel S.,pergel-szandra,sofascore
147936,Baravok K.,baravok-katsiaryna,sofascore
104467,Dvorak G.,dvorak-galia,sofascore
103185,Kato M.,kato-miyu,sofascore
76899,Das A.,das-ankita,sofascore
148020,Mutti L.,mutti-leonardo,sofascore
104571,Wong C.,wong-chun-ting,sofascore
182745,Ogata R.,ogata-ryotaro,sofascore
76849,Pattantyus A.,pattantyus-adam,sofascore
141630,Lorentz R.,lorentz-romain,sofascore
25097,Smirnov A.,smirnov-alexei,sofascore
126246,Salifou A.,salifou-abdel-kader,sofascore
126258,Kou L.,kou-lei,sofascore
25119,Liu J.,liu-jia,sofascore
76919,Partyka N.,partyka-natalia,sofascore
126106,Polcanova S.,polcanova-sofia,sofascore
126142,Madarasz D.,madarasz-dora,sofascore
25121,Shen Y.,shen-yanfei,sofascore
126110,Yu Fu.,fu-yu,sofascore
76911,Noskova Y.,noskova-yana,sofascore
126072,Pergel S / Pota G,pergel-s-pota-g,sofascore
126030,Balazova B / Matelova H,balazova-b-matelova-h,sofascore
126070,Solja P / Winter S,solja-p-winter-s,sofascore
98281,Matsumoto C.,matsumoto-cazuo,sofascore
126226,Konecny T.,konecny-tomas,sofascore
104537,Jeong S.,jeong-sangeun,sofascore
126218,Fertikowski P.,fertikowski-pawel,sofascore
76869,Jiang T.,jiang-tianyi,sofascore
104285,Matsudaira K.,matsudaira-kenji,sofascore
148050,Hachard A.,hachard-antoine,sofascore
126256,Geraldo J.,geraldo-joao,sofascore
98295,Gorak D.,gorak-d,sofascore
76901,Bilenko T.,bilenko-tetyana,sofascore
25169,Hirano S.,hirano-sayaka,sofascore
103171,Lin Y.,lin-ye,sofascore
104481,Wakamiya M.,wakamiya-misako,sofascore
25074,Jie Li.,li-jie,sofascore
126064,Polcanova S / Solja A,polcanova-s-solja-a,sofascore
126048,Dolgikh M / Mikhaylova P,dolgikh-m-mikhaylova-p,sofascore
148030,Duda Benedikt,duda-benedikt,sofascore
103153,Kang D.,kang-dongsoo,sofascore
126248,Duran M.,duran-marc,sofascore
141636,Petiot J.,petiot-jeremy,sofascore
148052,Robinot A.,robinot-alexandre,sofascore
158500,Soderland H.,soderland-hampus,sofascore
104549,Liao C.,liao-cheng-ting,sofascore
126238,Filus R.,filus-ruwen,sofascore
104531,Robinot Q.,robinot-quentin,sofascore
98285,Seo H.,seo-hyundeok,sofascore
131636,Walther R.,walther-ricardo,sofascore
126222,Platonov P.,platonov-pavel,sofascore
25089,Kuzmin F.,kuzmin-fedor,sofascore
158504,Ouaiche S.,ouaiche-stephane,sofascore
148014,Kosiba D.,kosiba-daniel,sofascore
126126,Troshneva E.,troshneva-elena,sofascore
25175,Tie Y.,tie-yana,sofascore
76927,Xue Li.,li-xue,sofascore
76891,Kumahara L.,kumahara-luca,sofascore
76923,Chen S.,chen-szu-yu,sofascore
157242,Chen M.,chen-meng,sofascore
104489,Lee I.,lee-i-chen,sofascore
103183,Jeon J.,jeon-jihee,sofascore
126148,Ying H.,ying-han,sofascore
189916,Zeng J.,zeng-jian,sofascore
131650,Ivancan I.,ivancan-irene,sofascore
131656,Winter S.,winter-sabine,sofascore
76939,Xiaoxia Li.,li-xiaoxia,sofascore
134986,Dolgikh M.,dolgikh-maria,sofascore
158532,Jung Y / Kim M,jung-y-kim-m,sofascore
172140,Filus R / Walther R,filus-r-walther-r,sofascore
76831,Gerell P.,gerell-par,sofascore
103141,Karlsson K.,karlsson-kristian,sofascore
131622,Kim D.,kim-donghyun,sofascore
126112,Baranova O.,baranova-olga,sofascore
76907,Privalova A.,privalova-alexandra,sofascore
25031,Melek Hu.,hu-melek,sofascore
25032,Huang Y.,huang-yi-hua,sofascore
131652,Seo H.,seo-hyowon,sofascore
104499,I-Ching Cheng,cheng-i-ching,sofascore
103191,Liu S.,liu-shiwen,sofascore
104495,Zhou Y.,zhou-yihan,sofascore
131646,Yang H.,yang-haeun,sofascore
157246,Yang Wu.,wu-yang,sofascore
131668,Park Y.,park-youngsook,sofascore
104625,Chiang H-C / Huang S-S,chiang-h-c-huang-s-s,sofascore
189936,Cassin A / Robinot A,cassin-a-robinot-a,sofascore
189932,Freitas M / Gacina A,freitas-m-gacina-a,sofascore
141680,Tang P / Wong C T,tang-p-wong-c-t,sofascore
126156,Gardos R / Habesohn D,gardos-r-habesohn-d,sofascore
183693,Fang B / Liang J,fang-b-liang-j,sofascore
189933,Jeong S / Lee S,jeong-s-lee-s,sofascore
103213,Karlsson K / Karlsson M,karlsson-k-karlsson-m,sofascore
157268,FAN Z / MA L,fan-z-ma-l,sofascore
159928,Kuzmin F / Vlasov G,kuzmin-f-vlasov-g,sofascore
157278,XU X / Zhang J,xu-x-zhang-j,sofascore
189934,Lebesson E / Salifou A-K,lebesson-e-salifou-a-k,sofascore
189935,Assar K / Assar O,assar-k-assar-o,sofascore
189937,Platonov P / Samsonov V,platonov-p-samsonov-v,sofascore
189938,Alanssari B / AL Bahrani H,alanssari-b-al-bahrani-h,sofascore
189918,Bilenko T / Dolgikh M,bilenko-t-dolgikh-m,sofascore
189919,Chen M / WU Y,chen-m-wu-y,sofascore
104587,Cheng I-C / Huang Y-H,cheng-i-c-huang-y-h,sofascore
159916,Baranova O / Troshneva E,baranova-o-troshneva-e,sofascore
189923,DOO H K / Lee H C,doo-h-k-lee-h-c,sofascore
189924,Hwang J / Lee Z,hwang-j-lee-z,sofascore
103235,Feng T / Yu M,feng-t-yu-m,sofascore
131690,Park Y / Yang H,park-y-yang-h,sofascore
189922,Jeon J / Yoo E,jeon-j-yoo-e,sofascore
131692,Han Y / Ivancan I,han-y-ivancan-i,sofascore
189925,Jiang H / Tie Y,jiang-h-tie-y,sofascore
189926,LI X / Liu S,li-x-liu-s,sofascore
103245,Lin Y / Zhou Y,lin-y-zhou-y,sofascore
189917,El-Dawlatly N / Meshref D,el-dawlatly-n-meshref-d,sofascore
189920,Noskova Y / Prokhorova Y,noskova-y-prokhorova-y,sofascore
189921,Ding N / Zhu Y,ding-n-zhu-y,sofascore
141632,Hugo Calderano,calderano-hugo,sofascore
98275,Jung Y.,jung-youngsik,sofascore
25165,Samsonov V.,samsonov-vladimir,sofascore
131630,Liang J.,liang-jingkun,sofascore
24903,Tsuboi G.,tsuboi-gustavo,sofascore
158514,Fang B.,fang-bo,sofascore
98279,Skachkov K.,skachkov-kirill,sofascore
25180,Gao N.,gao-ning,sofascore
158518,Wang Y.,wang-yang,sofascore
76871,Joo S.,joo-se-hyuk,sofascore
98289,Cho E.,cho-eonrae,sofascore
103157,Liventsov A.,liventsov-alexey,sofascore
98255,Long Ma.,ma-long,sofascore
76865,Gacina A.,gacina-andrej,sofascore
98293,Lebesson E.,lebesson-emmanuel,sofascore
158494,Jang W.,jang-woojin,sofascore
25159,Chuang C.,chuang-chih-yuan,sofascore
76813,Tang P.,tang-peng,sofascore
98277,Lee S.,lee-sangsu,sofascore
189915,Al Bahrani H.,al-bahrani-husain,sofascore
104577,Zhikang Wu.,wu-zhikang,sofascore
104565,Hung T.,hung-tzu-hsiang,sofascore
98287,Franziska P.,franziska-patrick,sofascore
25106,Yang Z.,yang-zi,sofascore
76833,Ghosh S.,ghosh-soumyajit,sofascore
126232,Pitchford L.,pitchford-liam,sofascore
148046,Nuytinck C.,nuytinck-cedric,sofascore
103139,Ahmet Li.,li-ahmet,sofascore
25108,Tan R.,tan-ruiwu,sofascore
157238,Ching Wan Li.,li-ching-wan,sofascore
141652,Lin C.,lin-chia-hui,sofascore
190373,Franziska P / Steger B,franziska-p-steger-b,sofascore
190374,LI P / Pitchford L,li-p-pitchford-l,sofascore
182797,LI A / Menge G,li-a-menge-g,sofascore
190376,Robinot Q / Salifou A-K,robinot-q-salifou-a-k,sofascore
126210,Tan R / Wang Z Y,tan-r-wang-z-y,sofascore
190369,HU M / Yang X,hu-m-yang-x,sofascore
190371,Winter S / WU J,winter-s-wu-j,sofascore
190368,Ekholm M / Rakovac L,ekholm-m-rakovac-l,sofascore
190372,Madarasz D / Pergel S,madarasz-d-pergel-s,sofascore
141664,Liu J / Vacenovska I,liu-j-vacenovska-i,sofascore
25163,Ovtcharov D.,ovtcharov-dimitrij,sofascore
76819,Quadri Aruna,aruna-quadri,sofascore
25115,Tokić B.,tokic-bojan,sofascore
190366,Ping Li.,li-ping,sofascore
98261,Steger B.,steger-bastian,sofascore
25179,Jiaduo Wu.,wu-jiaduo,sofascore
147952,Liu H.,liu-hsing-yin,sofascore
25042,Samara E.,samara-elizabeta,sofascore
183689,Calderano H / Tsuboi G,calderano-h-tsuboi-g,sofascore
148034,Lambiet F.,lambiet-florent,sofascore
192176,Zhang Q.,zhang-qiang,sofascore
103197,Barthel Z.,barthel-zhenqi,sofascore
147942,Mori S.,mori-sakura,sofascore
131672,Boll T / Franziska P,boll-t-franziska-p,sofascore
159926,HO K K / LI H M,ho-k-k-li-h-m,sofascore
192228,Choi H / JO Y,choi-h-jo-y,sofascore
157272,Chen F / Yang Z,chen-f-yang-z,sofascore
103149,Vlasov G.,vlasov-grigory,sofascore
104583,Yoshimura M.,yoshimura-maharu,sofascore
158508,Oshima Y.,oshima-yuya,sofascore
98259,Niwa K.,niwa-koki,sofascore
25085,Gionis P.,gionis-panagiotis,sofascore
25123,Mizutani J.,mizutani-jun,sofascore
146862,Mengel S.,mengel-steffen,sofascore
98265,Baum P.,baum-patrick,sofascore
25185,Boll T.,boll-timo,sofascore
159890,Yoshida M.,yoshida-masaki,sofascore
103143,Yoshida K.,yoshida-kaii,sofascore
98283,Matsudaira K.,matsudaira-kenta,sofascore
104519,Shiono M.,shiono-masato,sofascore
98257,Yan A.,yan-an,sofascore
141666,Shan X / Solja P,shan-x-solja-p,sofascore
76929,Silbereisen K.,silbereisen-kristin,sofascore
141648,Liu F.,liu-fei,sofascore
76935,Ishikawa K.,ishikawa-kasumi,sofascore
192230,Ruochen Gu.,gu-ruochen,sofascore
25120,Pota G.,pota-georgina,sofascore
25102,Qian Li.,li-qian,sofascore
192227,Che X.,che-xiaoxi,sofascore
103177,Ito M.,ito-mima,sofascore
103173,Shan X.,shan-xiaona,sofascore
192231,Jiayuan Li.,li-jiayuan,sofascore
104629,Matsudaira K / Niwa K,matsudaira-k-niwa-k,sofascore
192226,Skachkov K / Smirnov A,skachkov-k-smirnov-a,sofascore
131686,Fukuhara A / Wakamiya M,fukuhara-a-wakamiya-m,sofascore
103187,Matsudaira S.,matsudaira-shiho,sofascore
147944,Galonja M.,galonja-marija,sofascore
148054,Ruiz J.,ruiz-jose-manuel,sofascore
131640,Assar K.,assar-khalid,sofascore
182763,Robles A.,robles-alvaro,sofascore
159882,Andersson H.,andersson-harald,sofascore
126138,Necula I.,necula-iulia,sofascore
158490,Tsui P.,tsui-pao-wen,sofascore
147922,Xiao M.,xiao-maria,sofascore
147932,Schuh A.,schuh-anja,sofascore
147956,Prokhorova Y.,prokhorova-yulia,sofascore
192741,Shao J.,shao-jieni,sofascore
192775,Tsuchida M.,tsuchida-mika,sofascore
103189,Eka So.,so-eka,sofascore
192778,Wong C.,wong-chung-wan,sofascore
147966,Maeda M.,maeda-miyu,sofascore
126134,Varady B.,balazova-barbora,sofascore
183685,Rakovac L.,rakovac-l,sofascore
146888,Matsuzawa M.,matsuzawa-marina,sofascore
76925,Vacenovska I.,vacenovska-iveta,sofascore
192784,Zarif A.,zarif-audrey,sofascore
147960,Zhang X.,zhang-xuan,sofascore
104469,Ekholm M.,ekholm-matilda,sofascore
141644,Tashiro S.,tashiro-saki,sofascore
192779,De Nutte S.,de-nutte-sarah,sofascore
146900,Lee H.,lee-hyunju,sofascore
103161,Hirano M.,hirano-miu,sofascore
25111,Xia Lian Ni.,ni-xia-lian,sofascore
76915,Tian Y.,tian-yuan,sofascore
192783,Remzi S.,remzi-sibel,sofascore
